iter	Passed	Remaining
829	1710	350
830	1712	348
831	1713	345
832	1714	343
833	1716	341
834	1718	339
835	1720	337
836	1721	335
837	1722	333
838	1724	330
839	1725	328
840	1727	326
841	1728	324
842	1730	322
843	1732	320
844	1733	318
845	1735	315
846	1736	313
847	1738	311
848	1739	309
849	1740	307
850	1742	305
851	1743	302
852	1745	300
853	1746	298
854	1748	296
855	1749	294
856	1751	292
857	1752	290
858	1754	287
859	1755	285
860	1756	283
861	1758	281
862	1759	279
863	1761	277
864	1762	275
865	1764	273
866	1765	270
867	1767	268
868	1768	266
869	1770	264
870	1771	262
871	1773	260
872	1775	258
873	1776	256
874	1778	254
875	1780	251
876	1781	249
877	1783	247
878	1785	245
879	1787	243
880	1789	241
881	1791	239
882	1793	237
883	1796	235
884	1799	233
885	1801	231
886	1803	229
887	1806	227
888	1809	225
889	1811	223
890	1812	221
891	1814	219
892	1816	217
893	1818	215
894	1821	213
895	1823	211
896	1826	209
897	1827	207
898	1829	205
899	1831	203
900	1832	201
901	1840	199
902	1843	198
903	1849	196
904	1870	196
905	1886	195
906	1920	196
907	1952	197
908	1957	195
909	1965	194
910	1969	192
911	1982	191
912	1996	190
913	2000	188
914	2004	186
915	2018	185
916	2025	183
917	2028	181
918	2030	179
919	2032	176
920	2034	174
921	2035	172
922	2036	169
923	2038	167
924	2039	165
925	2041	163
926	2043	160
927	2045	158
928	2046	156
929	2048	154
930	2050	151
931	2051	149
932	2053	147
933	2055	145
934	2057	143
935	2060	140
936	2062	138
937	2064	136
938	2065	134
939	2067	131
940	2069	129
941	2070	127
942	2072	125
943	2075	123
944	2078	120
945	2079	118
946	2081	116
947	2083	114
948	2085	112
949	2088	109
950	2090	107
951	2093	105
952	2094	103
953	2096	101
954	2098	98
955	2099	96
956	2102	94
957	2104	92
958	2106	90
959	2108	87
960	2109	85
961	2111	83
962	2112	81
963	2114	78
964	2115	76
965	2118	74
966	2120	72
967	2121	70
968	2123	67
969	2125	65
970	2126	63
971	2128	61
972	2130	59
973	2133	56
974	2135	54
975	2137	52
976	2139	50
977	2140	48
978	2142	45
979	2143	43
980	2145	41
981	2147	39
982	2149	37
983	2151	34
984	2152	32
985	2154	30
986	2156	28
987	2157	26
988	2159	24
989	2161	21
990	2163	19
991	2165	17
992	2166	15
993	2168	13
994	2169	10
995	2171	8
996	2173	6
997	2174	4
998	2177	2
999	2179	0
